item_sku_id,attr_cd,attr_value_cd
988,397,2751
911,183,3190
670,540,433
592,390,1263
874,68,534
208,225,596
653,22,4177
231,382,2907
347,751,3386
883,22,3461
844,68,2076
426,382,4282
257,50,950
851,37,32
33,50,969
323,38,4777
579,518,1263
579,68,3250
974,152,1263
76,390,1263
272,277,676
296,552,3200
543,163,1485
543,60,4344
643,884,2420
101,103,151
656,550,3189
464,492,409
774,568,3241
658,1,1525
559,217,2598
810,492,409
620,770,1263
80,82,1298
160,277,64
227,68,3102
619,60,4061
146,225,268
25,492,410
867,38,4331
780,16,879
12,82,1298
921,537,1263
836,437,2613
778,22,156
260,390,4
822,543,3160
527,397,891
892,18,981
301,535,1263
411,38,4776
843,560,3216
438,225,268
891,368,3082
257,16,880
204,488,433
954,82,1298
103,225,1229
323,38,2135
651,68,2053
350,101,914
76,397,2478
273,82,2489
235,492,542
934,68,3261
674,488,433
441,210,1162
573,492,409
317,397,2848
262,492,410
271,55,4346
553,277,2407
206,277,2431
890,558,3217
89,68,1263
742,277,2407
313,492,409
823,68,4697
731,346,1504
820,3,4689
953,68,4085
866,368,3082
140,17,98
739,540,1228
549,397,1504
139,397,3213
136,68,3262
515,430,4
843,559,1742
857,571,1263
696,243,883
749,666,1263
579,68,1166
442,71,1134
724,386,3471
722,1,2617
511,60,4061
511,430,4045
406,346,1504
440,82,1298
726,634,3488
271,55,4772
744,487,2322
824,488,433
313,346,1504
628,526,1263
12,559,3214
799,50,2066
613,633,3484
224,277,3481
66,765,1435
721,368,3082
638,82,699
575,60,4046
163,633,644
188,225,1825
877,38,4331
426,382,493
982,16,880
752,492,409
185,82,1298
686,60,4344
10,436,1485
806,531,1263
348,225,1825
864,540,433
223,82,2698
461,55,4771
461,924,71
461,38,2135
605,20,2119
239,225,268
199,60,4050
157,492,410
719,55,4054
523,540,433
634,397,1650
376,492,409
120,55,4327
216,1,2618
921,495,1263
994,50,4
180,390,586
59,540,433
267,535,3137
428,103,1194
347,6,81
848,68,1225
259,50,2065
200,505,1559
257,752,4033
772,82,1298
832,183,3190
850,103,383
648,277,1149
197,225,268
264,38,4774
819,163,1485
223,101,914
62,529,1263
738,68,1263
326,488,433
928,277,494
315,50,1250
85,55,4346
479,225,1263
55,492,542
146,68,488
342,225,410
731,495,1263
578,492,2113
601,346,987
997,68,3157
403,101,3211
283,82,1298
94,582,3275
657,68,2072
430,568,3237
843,368,3082
347,50,4
790,225,268
705,488,433
323,277,1467
955,488,433
700,283,1263
210,68,1263
134,530,745
508,277,4594
235,488,433
770,225,409
265,488,433
914,225,4
62,82,1298
95,382,2905
277,183,3190
576,225,409
271,277,300
14,82,1298
775,492,542
815,488,433
744,487,380
590,277,4574
363,43,339
458,163,2525
718,492,409
733,529,1263
36,55,4056
980,149,105
687,82,4092
260,368,3082
948,488,433
585,189,4566
805,183,3278
411,55,4327
59,368,3082
546,82,1263
30,68,3101
567,666,653
795,183,1263
570,22,3892
310,38,4052
916,225,1825
5,37,299
835,37,13
534,390,1263
714,488,433
776,411,4610
500,22,3894
834,68,3281
129,82,959
342,217,2603
320,368,3082
551,5,878
736,488,433
149,68,487
912,530,598
391,368,3082
391,225,409
301,68,1263
425,225,2685
421,217,2599
639,743,2757
338,68,1418
335,50,1250
677,225,409
667,492,409
195,541,1007
86,382,493
491,492,2113
134,488,433
532,390,1263
674,68,533
406,183,3190
517,534,610
975,492,409
497,492,409
466,390,587
157,397,3159
7,68,2054
526,488,433
342,505,1559
552,225,1825
164,82,1298
996,237,967
551,179,3960
205,225,1263
692,584,1263
997,540,433
784,101,3211
454,38,4775
92,82,1298
773,189,4
411,38,4052
657,82,1208
509,126,228
515,38,4331
575,60,4061
481,437,2614
698,225,268
917,38,2135
990,82,1298
173,488,433
699,82,1298
138,531,1263
558,488,433
386,726,194
573,530,1263
882,217,2599
629,60,2436
159,225,1825
282,2,148
531,488,433
531,225,1263
540,68,2069
234,487,2942
815,225,409
69,488,433
769,227,734
976,204,2727
661,68,2067
144,225,409
554,50,3945
329,55,4771
587,554,1263
967,82,1207
512,103,4
78,493,2100
78,225,410
960,492,409
482,38,4776
432,505,1559
912,368,3082
602,378,2539
411,38,4774
690,495,603
436,390,606
639,117,4083
844,183,1263
977,492,410
667,225,1263
242,225,409
21,287,3477
560,277,2009
884,532,2080
594,82,2021
54,37,299
542,179,4040
532,488,433
876,68,2067
534,68,2054
80,492,409
834,488,433
814,397,1504
603,488,433
702,82,1298
157,541,929
243,492,409
99,68,1263
521,495,1263
758,16,880
867,277,1467
12,225,268
777,218,2044
254,551,1263
808,368,3082
18,41,4558
670,82,1298
280,346,1504
103,68,3261
501,142,144
749,224,2273
60,492,542
829,765,1431
273,68,1263
668,541,3288
934,492,539
714,390,1065
965,561,1263
571,224,2273
145,68,1263
249,397,2561
479,68,3098
458,277,21
669,277,2416
258,390,588
445,492,409
879,492,409
869,368,3082
869,726,194
75,378,4180
22,368,3082
519,952,4932
455,225,268
773,189,4567
691,55,4328
663,68,537
347,20,2119
723,226,1263
977,346,1504
688,20,2119
712,411,4609
501,765,1435
323,38,4774
615,743,4419
759,495,1263
183,1,4326
6,880,4586
974,481,1298
870,38,4331
185,68,2024
828,368,3082
679,277,21
101,50,1250
496,101,2041
24,505,1263
532,82,1298
668,368,595
322,50,1250
931,495,1263
49,488,433
471,277,242
622,225,268
607,82,1263
360,50,1071
683,345,271
253,378,2539
85,277,1468
497,581,1263
847,50,1071
98,225,409
535,98,897
460,493,1263
499,37,299
455,103,3269
602,750,3951
926,390,1263
422,50,2066
723,488,433
302,60,2531
977,390,1263
88,390,1263
242,390,1263
704,277,1553
734,68,2061
636,634,4
510,1,2615
668,397,1504
138,368,3082
774,566,1263
17,530,745
156,382,493
792,562,1263
492,237,966
79,584,1263
271,38,2135
841,71,652
146,492,409
146,550,2051
111,488,433
99,390,1263
634,492,410
669,885,134
313,726,194
324,82,2489
921,183,1263
329,1,4326
289,82,1298
581,225,268
73,38,4052
254,368,3082
957,666,653
959,82,1298
18,868,208
135,50,969
66,22,3892
91,212,2909
148,368,3082
334,550,2052
293,38,4047
302,103,2911
399,492,409
897,666,653
193,1,523
699,550,1263
475,277,3482
829,752,4033
735,82,1298
447,666,653
895,98,896
668,585,3161
317,346,987
369,409,2414
15,55,4327
146,726,194
886,346,2848
164,225,1263
813,82,1298
830,409,2414
435,183,614
601,390,586
81,38,4777
318,382,4282
122,492,409
425,142,4618
422,488,433
63,82,1298
998,60,2435
977,488,433
561,570,414
772,68,3227
982,2,2720
580,82,1298
676,495,1263
698,82,1298
195,346,987
875,368,3082
478,224,2273
477,225,268
38,82,1298
626,277,4588
641,71,2443
378,82,699
378,564,1263
471,37,90
511,60,68
294,38,4331
156,382,4282
167,430,4
846,243,2283
695,183,1263
744,242,987
189,82,1298
342,397,1504
162,495,603
944,568,3240
642,277,2407
320,397,1650
212,397,2751
763,505,352
763,585,3161
692,225,1230
51,37,13
808,68,1418
949,237,965
691,55,4327
671,495,1263
359,952,4931
257,378,2539
954,488,433
351,82,1263
296,557,1263
649,225,1825
858,82,1263
668,50,2100
165,479,1487
288,739,11
694,765,1540
882,541,1007
607,225,2113
175,585,681
64,488,433
282,179,4041
529,183,1263
529,536,3141
326,68,487
845,150,4003
105,488,433
266,277,30
249,68,1263
841,277,2437
624,525,1583
258,492,2113
736,531,1263
948,225,1230
152,15,4059
601,397,2838
224,163,2525
509,38,2135
856,71,652
33,50,1071
56,568,3240
749,71,1135
922,82,710
594,186,1263
386,492,409
774,570,1263
228,368,3082
658,1,1433
607,585,3160
620,82,1263
878,82,2379
522,105,2451
522,372,2428
989,196,1981
647,38,4053
683,225,410
619,38,2135
634,368,3082
634,585,3161
758,378,2539
697,492,2113
415,382,2905
967,68,487
941,82,1298
334,492,409
693,633,3485
347,179,3959
891,526,1263
351,518,1263
158,765,1435
53,121,1351
442,277,4574
516,218,2043
699,183,1263
87,368,3082
264,55,4773
636,730,3854
829,64,3948
74,546,3185
542,68,4034
11,68,4084
757,580,352
434,495,1263
838,390,2064
401,390,586
219,6,29
433,397,2561
179,68,487
820,179,3959
371,481,1298
672,37,37
110,37,236
527,368,3082
773,875,4570
365,186,1263
59,492,2113
747,38,4052
200,390,586
257,5,878
972,105,2453
278,765,1431
633,210,1161
594,225,4
914,368,3082
70,371,1559
317,50,2099
160,153,61
645,224,2273
744,225,410
69,492,409
813,492,409
869,183,3190
967,492,2113
460,505,1559
992,378,4180
799,584,1263
602,5,878
969,277,2437
691,60,4049
690,82,1298
874,225,268
844,225,268
112,68,1263
698,558,3217
467,909,1263
431,580,352
264,55,4770
130,495,1263
232,82,2489
288,740,4
17,82,1298
533,493,2100
722,437,4
239,553,4624
768,634,3488
647,60,4049
262,225,268
797,368,3082
394,488,433
176,68,773
458,277,494
554,37,3474
725,488,433
597,68,487
614,492,2113
320,488,433
732,362,477
799,488,433
866,82,698
260,530,1263
812,183,613
502,488,433
163,277,21
450,732,3860
848,492,409
844,82,1298
355,68,3098
917,924,71
13,492,409
570,212,2909
38,225,539
859,583,3284
909,436,2612
668,397,2848
165,277,1486
77,346,1504
461,277,183
434,217,2599
370,225,1263
619,55,4055
121,225,1263
507,492,409
179,550,2051
624,68,773
587,397,891
703,492,2113
362,218,2045
435,532,2079
78,541,1007
994,82,1298
153,189,796
247,346,1912
454,277,300
805,68,3102
490,68,1263
379,368,3082
119,50,1071
66,382,4282
97,68,487
359,17,98
347,16,879
586,409,2414
818,540,433
844,390,1263
844,726,194
688,751,2125
688,752,3861
795,488,433
166,526,1263
173,82,1298
828,726,194
534,68,4646
11,68,1166
617,909,1990
261,68,2055
408,277,4596
303,68,2025
571,277,4574
104,277,4601
942,633,644
339,82,1298
342,50,2100
4,488,433
457,1,4326
316,68,2105
75,105,2452
362,488,433
147,530,599
627,277,4576
73,60,1468
831,217,2597
224,633,644
139,559,1742
670,368,595
411,38,4331
709,564,1263
443,488,433
730,492,2113
586,277,30
579,225,1825
183,924,71
570,382,4282
68,68,694
734,82,1298
779,251,2380
134,218,2044
828,488,433
5,103,1194
312,581,1263
542,2,693
908,488,433
622,82,1298
605,751,2125
239,346,2007
192,411,4610
274,409,2413
243,82,1298
189,534,1263
588,82,1298
144,390,3182
932,82,1298
171,183,1263
820,16,880
921,251,2380
36,38,2135
106,82,1298
994,495,1263
905,885,2265
469,2,2720
654,546,2108
592,82,1298
657,397,2751
691,60,4326
96,225,1825
848,346,1294
747,55,4057
982,750,3951
580,492,409
935,1,3480
832,390,1263
579,68,3256
292,752,4
6,879,4585
704,22,174
859,492,409
987,225,268
508,22,1263
724,68,4024
978,2,2720
620,101,3245
522,37,2115
757,390,1263
664,71,2443
889,82,1298
915,225,268
85,38,2135
695,68,1263
603,82,1298
523,541,3218
243,68,3178
487,368,3082
980,277,66
980,163,2525
578,68,1263
139,543,3160
267,68,2068
844,368,3082
977,68,488
103,82,1098
893,277,3468
973,277,4281
676,488,433
596,68,487
292,6,3955
195,68,554
13,390,586
710,541,3204
491,541,1007
496,225,268
766,50,3945
138,50,4
934,580,352
774,68,2024
774,571,1263
978,50,950
609,488,433
647,55,4328
105,82,1298
814,585,681
353,492,542
50,68,3225
61,371,1559
414,390,3267
177,82,1298
111,225,409
120,55,4328
947,397,2561
938,382,2905
289,397,891
37,183,3190
812,492,409
549,390,586
549,217,2601
139,397,891
314,397,891
691,38,4052
59,82,1298
422,68,2057
347,2,2720
705,68,2105
881,50,4
881,488,433
919,183,3190
550,224,1250
193,277,4594
649,101,914
909,237,966
39,430,4045
658,1,1528
288,17,98
389,542,3979
434,492,410
241,68,1189
116,82,1298
